epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,1.332134120308492,0.5304976924036423,0.3477038331337988,0.7129521478523124,0.7217217217217218,0.5577878153616186
2,0.7896935576153646,0.6796806785580641,0.5650097767781528,0.8330878890133477,0.6511511511511512,0.5729982257676741
3,0.5425643456447625,0.7556442559560933,0.6822769207398824,0.5812965237103902,0.7702702702702703,0.6339480412905774
4,0.41093474612415054,0.789447424223525,0.7245423028808046,0.5302922171396058,0.7927927927927928,0.6557093897574298
5,0.3236612519362003,0.8181364600224523,0.7907631821019013,1.0041774814133648,0.6411411411411412,0.5823768109512519
6,0.28105985068525474,0.8338530622427341,0.8064643257231973,0.5350113779574901,0.7987987987987988,0.6761551345992773
7,0.21464372757583897,0.8629163028564301,0.8484283801965374,0.5055142076643141,0.8208208208208209,0.7401164170242419
8,0.1811526231342262,0.8881127603841836,0.8767995060713949,0.5419274168210225,0.8108108108108109,0.7433872468544765
9,0.1473638719735158,0.9009604590245728,0.9005053637458671,0.5779194845272614,0.7997997997997998,0.7350163552521946
10,0.12259797942791553,0.9140576275414743,0.9109669286062585,0.4854886914128894,0.8593593593593594,0.7592528289569318
11,0.10691188425160233,0.9269053261818635,0.9278073598752518,0.5596371435367309,0.8198198198198198,0.7582055082685477
12,0.08681266706353696,0.9363851814893351,0.9388748163846453,0.5421169594273314,0.8408408408408409,0.7467271675053049
13,0.09243139529988045,0.9373830609953848,0.9364466801169371,0.6067908143361768,0.8313313313313313,0.7206860552300938
14,0.08898823304401307,0.9418735187726082,0.9382900589868395,0.49053335420645633,0.8578578578578578,0.7674035188620303
15,0.08563549886774181,0.9471123861793689,0.9340139227181845,0.54732416857694,0.8523523523523524,0.7435971260984459
16,0.0629152999910888,0.9542222776599726,0.9515504150387318,0.5485513917617015,0.8433433433433434,0.7459413808706697
17,0.04984910596332616,0.9630784582761631,0.9594934742468011,0.5736995628168872,0.8548548548548549,0.7716230971426999
18,0.05281914647929282,0.9618311088936011,0.958799483015414,0.5707126365260439,0.8478478478478478,0.7353734351769877
19,0.05629362990212839,0.9573406511163777,0.9495677331602748,0.6042345109525267,0.8398398398398398,0.7506633562793047
20,0.03911327828454625,0.9729325183984034,0.9712388695556164,0.6161629785825541,0.8548548548548549,0.7809527055397208
21,0.1680888791913714,0.93326680803293,0.8878870042235434,0.576939785504365,0.8158158158158159,0.72560301546217
22,0.10597996058743375,0.9426219284021454,0.9194642460575974,0.65383881232044,0.8398398398398398,0.7288163838447987
23,0.04604738141569552,0.967818385929899,0.9595405398614113,0.6013269822306193,0.8463463463463463,0.7560127149821447
24,0.0472965627909636,0.9741798677809654,0.9695076818270444,0.6368607231961178,0.8393393393393394,0.7459316708028804
25,0.04536719494138563,0.9716851690158413,0.965292682494772,0.6940243648532014,0.8308308308308309,0.7149579254123718
