epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,1.906095997136594,0.35262567045029314,0.14813900080076445,1.6167340266692627,0.47597597597597596,0.19391113012439581
2,1.7706349109999628,0.4143694648871149,0.2195004971309869,1.6968112841502085,0.32182182182182184,0.20224979573329355
3,1.703847523295881,0.4176125732817762,0.24919601893941593,1.6314000157383945,0.3818818818818819,0.2229669512836039
4,1.6251922626960482,0.44605213920419107,0.2649795734867942,1.4016043296208731,0.48598598598598597,0.27607156262257765
5,1.5793659597824856,0.4525383559935138,0.27260717678408375,1.4289725545171026,0.4419419419419419,0.27357122037324355
6,1.5320870712152277,0.46763128352251465,0.29826905645548424,1.3330299501065854,0.5005005005005005,0.32996828330633754
7,1.501221013304092,0.4638892353748285,0.2966446131404978,1.2717252271669406,0.519019019019019,0.291950880472074
8,1.4807544467721896,0.45628040414119997,0.29864051503520805,1.366821458151152,0.461961961961962,0.286116359974058
9,1.4800981868007794,0.4627666209305226,0.30562220805323637,1.262395094464849,0.536036036036036,0.32171271870971563
10,1.464148154501994,0.44954471747536484,0.30090938545419393,1.4582164647939566,0.41291291291291293,0.30688537134751287
11,1.4448068929726723,0.46576025944867155,0.309862631602877,1.3713668360485807,0.44594594594594594,0.29643013495925646
12,1.4408601673817834,0.4626418859922664,0.3162556664449567,1.2557533731212367,0.5320320320320321,0.3298178468592075
13,1.4233103804759615,0.47137333167020085,0.32862586405056116,1.3332379724647667,0.506006006006006,0.3422341897048317
14,1.4381760507506058,0.4821005363602345,0.3281018227069773,1.4391566289437783,0.4119119119119119,0.27914738983362153
15,1.3928120156037505,0.47648746413870524,0.33324776957492747,1.2474008613639884,0.54004004004004,0.34407621934377053
16,1.4024015683046493,0.4762379942621928,0.3280950068184473,1.353089241771488,0.47347347347347346,0.31429792690914676
17,1.4047636618203203,0.4781090183360359,0.34282798918822366,1.312185885908606,0.4864864864864865,0.3236077914864551
18,1.4047770882925668,0.4727454159910191,0.3348775171803367,1.2339516357855276,0.5425425425425425,0.34110765364294343
19,1.3957704064464487,0.4909567169764251,0.34034255910629996,1.2717094852163031,0.522022022022022,0.3516965037838689
20,1.3899151585235014,0.4781090183360359,0.33939426600635303,1.328657463028863,0.495995995995996,0.34224491088178893
21,1.3686066388013254,0.4905825121616565,0.34509097883460454,1.3256394767665767,0.501001001001001,0.35611894019590473
22,1.370984309790541,0.48546837969315204,0.345852598332176,1.2653675622290916,0.5415415415415415,0.3776608094378103
23,1.375176751094669,0.4776100785830111,0.3336869075602988,1.3272711576761544,0.4674674674674675,0.3375694718283436
24,1.3624851101872568,0.4949482350006237,0.34956040237091235,1.2924328921912789,0.498998998998999,0.3480636227037239
25,1.3584537976427804,0.4834726206810528,0.3507907536465165,1.373635096354289,0.47897897897897895,0.28611373489198677
26,1.35962548515543,0.4998128975926157,0.3460440892219579,1.3455226578869977,0.46796796796796797,0.31888540334224125
27,1.3519103794572538,0.49170512660596233,0.34608859061850755,1.368824598309514,0.48098098098098097,0.34240244966379463
28,1.3573615196950568,0.4923288012972434,0.35448848154817986,1.311237436515075,0.513013013013013,0.35509111049419156
29,1.3343736769270687,0.4895846326556068,0.34982276060685863,1.2763750288221571,0.5025025025025025,0.3425703190664127
30,1.3347042821300317,0.5010602469751777,0.3517637597182542,1.2535962173053332,0.5320320320320321,0.3366387014879783
