epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,1.153809926033139,0.5665460895596857,0.4055168113765929,0.9984218888096623,0.6131131131131131,0.47545427189190714
2,0.7012360999006366,0.7032555818884869,0.5881078400000812,0.9783698431364409,0.6441441441441441,0.4976775026363833
3,0.5438335790172604,0.7522764126231758,0.6572589796131939,0.7721681995494468,0.6971971971971972,0.5986673234906498
4,0.4617531738317532,0.7707371834850941,0.6870701794436228,0.7702144291307833,0.6981981981981982,0.5933878349103134
5,0.3869987339082466,0.7931894723712112,0.738173543374392,0.6053068752701696,0.7742742742742743,0.6536840522890801
6,0.38896052201251907,0.8037919421229887,0.740599840324958,0.9249959806273053,0.6991991991991992,0.5741261236614418
7,0.3305649477781702,0.8140202070599976,0.7614938180230978,0.701434760539978,0.7572572572572572,0.6469593325191304
8,0.2778231620907531,0.844081327179743,0.8145014679855428,0.8467360060732882,0.7152152152152152,0.6419371039659592
9,0.2361000050990766,0.8530622427341898,0.8294813787713194,0.6725179280366029,0.7652652652652653,0.6756920273396744
10,0.21017497115313924,0.8675314955719097,0.8538619947511155,0.7016979325283039,0.7672672672672672,0.6773192307904912
11,0.18543822568774715,0.8851191218660347,0.8744156837981237,0.6710680348498447,0.7807807807807807,0.6804666940568612
12,0.1681340096749108,0.8933516277909442,0.8794114866317247,0.7535481170729712,0.7557557557557557,0.6712512105726934
13,0.15593463370549318,0.8989647000124735,0.8923947606334849,0.6477392891326824,0.7972972972972973,0.7111784417042003
14,0.14133231745919222,0.9055756517400524,0.8993529409238353,0.6304135527219381,0.8143143143143143,0.6969251457252922
15,0.1290256780171106,0.9153049769240365,0.905436109442522,0.7426758166905996,0.7767767767767768,0.6846966103770137
16,0.12871496494800444,0.9189222901334664,0.8965054431644398,0.7308381973086177,0.7892892892892893,0.6618532695154047
17,0.16792847086206494,0.9083198203816889,0.8746888218202298,0.6914686423999531,0.7887887887887888,0.6524689603100783
18,0.20729567356815626,0.8916053386553574,0.8334990362841687,0.7277623379493022,0.7777777777777778,0.6842151421071916
19,0.2002873772129582,0.8863664712485967,0.8262180125767636,0.6489285482419981,0.8008008008008008,0.6828115683513801
20,0.11730531237306657,0.923537482848946,0.9069269026257649,0.6380297941369218,0.8043043043043043,0.6938123971084055
